video_id,publish_time,views
Mfiim71QdYQ,2017-11-08T18:39:38.000Z,33768
UFPSIa1cLRQ,2017-11-09T05:00:01.000Z,38068
o78x918zbFk,2017-11-08T18:00:05.000Z,1277364
iNf6VErGDLI,2017-11-08T14:00:09.000Z,1498866
6ixU_vdE0Es,2017-11-08T22:13:18.000Z,280065
wRGldR_SQAA,2017-11-09T18:01:04.000Z,2259
agKDPntMv-E,2017-11-08T15:59:06.000Z,470191
Xl38SuxyrgM,2017-11-09T07:27:32.000Z,16305
u7pV4vxD1bs,2017-11-08T20:16:47.000Z,169511
zYWt2mnalP8,2017-11-08T00:03:47.000Z,160477
PoNWU2cox9w,2017-11-08T15:00:27.000Z,704363
6hTzM1BPdU8,2017-11-08T21:00:01.000Z,130778
MCW5HUkrr-o,2017-11-08T17:16:26.000Z,560569
YvfYK0EEhK4,2017-11-14T15:32:51.000Z,462490
cxMvzK2OQTw,2017-11-14T16:43:11.000Z,295217
bAkEd8r7Nnw,2017-11-14T18:31:20.000Z,1525400
ItYOdWRo0JY,2017-11-14T00:45:15.000Z,1836419
5530I_pYjbo,2017-11-14T12:06:56.000Z,977285
dUMH6DVYskc,2017-11-14T12:02:49.000Z,390964
gjXrm2Q-te4,2017-11-14T04:55:24.000Z,1611093
9SK1I0V6U5c,2017-11-14T18:01:03.000Z,983365
VsYmwBOYfW8,2017-11-14T08:30:01.000Z,2765121
kgaO45SyaO4,2017-11-13T20:09:58.000Z,3701763
CtBca6H6Teg,2017-11-14T18:00:01.000Z,829132
pcWKpGzhgq4,2017-11-14T12:13:35.000Z,391049
L3br0klRqF4,2017-11-14T21:51:20.000Z,137003
9kF9xY74h-E,2017-11-14T21:00:47.000Z,891912
p2EY93WfBQk,2017-11-14T21:03:47.000Z,175539
xL_qpDkF5A8,2017-11-15T01:25:18.000Z,14565
eQVhAN7-IAw,2017-11-15T03:43:47.000Z,125645
2kyS6SvSYSE,2017-11-13T17:13:01.000Z,2188590
Y9nDagqKL7Q,2017-11-13T20:47:49.000Z,394709
DbJ2s_g1oDc,2017-11-13T20:00:01.000Z,863116
KJ12FVmumeA,2017-11-14T16:28:34.000Z,200235
1ZAPwfrtAFY,2017-11-13T07:30:00.000Z,4632016
qDAxDcjgn-8,2017-11-14T23:06:27.000Z,122426
gHZ1Qz0KiKM,2017-11-13T19:07:23.000Z,758998
815lSYphlbw,2017-11-14T16:00:01.000Z,145100
jr9QtXwC9vc,2017-11-13T14:00:23.000Z,2671756
E_86MEdNsAI,2017-11-14T19:48:51.000Z,52743
Cr9oGxr0Qa0,2017-11-14T14:00:02.000Z,121681
g0K5QoEj7FQ,2017-11-14T22:34:14.000Z,11404
l4bAoNAx2uo,2017-11-13T17:11:30.000Z,419965
TSqwDQHE1J8,2017-11-14T10:00:02.000Z,137749
puqaWrEC7tY,2017-11-13T11:00:04.000Z,772235
YVfyYrEmzgM,2017-11-13T16:00:07.000Z,297147
MltuW2kcREI,2017-11-14T20:28:53.000Z,126438
5E4ZBSInqUU,2017-11-13T17:00:00.000Z,2285136
jGiqc3HSxEg,2017-11-13T15:30:01.000Z,206319
XrDlDj9DfZs,2017-11-14T06:08:58.000Z,60564
vU14JY3x81A,2017-11-13T14:00:03.000Z,373457
5qpjK5DgCt4,2017-11-12T19:05:24.000Z,4326684
Z3OZyb2iWqQ,2017-11-14T14:00:32.000Z,137860
Hq89wYzOjfs,2017-11-14T17:37:20.000Z,4009
vZzIS17HexE,2017-11-15T03:11:17.000Z,3006
TUmyygCMMGA,2017-11-13T13:45:16.000Z,635985
lZ68j2J_GOM,2017-11-13T14:44:24.000Z,130893
yZGSIpcAfEo,2017-11-14T04:26:46.000Z,46954
zZ9FciUx6gs,2017-11-13T15:31:44.000Z,208155
zxUwbflE1SY,2017-11-13T13:00:10.000Z,190669
d380meD0W0M,2017-11-12T18:01:41.000Z,2509626
