video_id,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed
Ja_GMU7-sjs,52829,1524,5864,https://i.ytimg.com/vi/Ja_GMU7-sjs/default.jpg,FALSE,FALSE,FALSE
QOksZ8VogRw,25115,499,1392,https://i.ytimg.com/vi/QOksZ8VogRw/default.jpg,FALSE,FALSE,FALSE
RYs08kX3Ih4,14303,398,1099,https://i.ytimg.com/vi/RYs08kX3Ih4/default.jpg,FALSE,FALSE,FALSE
tOFkFZbPdnQ,7693,181,388,https://i.ytimg.com/vi/tOFkFZbPdnQ/default.jpg,FALSE,FALSE,FALSE
dW4wpGg64pE,25122,628,1504,https://i.ytimg.com/vi/dW4wpGg64pE/default.jpg,FALSE,FALSE,FALSE
2VP846QcA_4,4417,217,457,https://i.ytimg.com/vi/2VP846QcA_4/default.jpg,FALSE,FALSE,FALSE
_dhneCO4YEE,5505,2356,1264,https://i.ytimg.com/vi/_dhneCO4YEE/default.jpg,FALSE,FALSE,FALSE
EYkEshCOhEU,15247,385,976,https://i.ytimg.com/vi/EYkEshCOhEU/default.jpg,FALSE,FALSE,FALSE
Rq9-mW6HgQE,11616,313,1518,https://i.ytimg.com/vi/Rq9-mW6HgQE/default.jpg,FALSE,FALSE,FALSE
k29YnfttqEU,9312,584,769,https://i.ytimg.com/vi/k29YnfttqEU/default.jpg,FALSE,FALSE,FALSE
Eg_kW5fw6qU,9091,135,2814,https://i.ytimg.com/vi/Eg_kW5fw6qU/default.jpg,FALSE,FALSE,FALSE
J_QGZspO4gg,84426,1130,5981,https://i.ytimg.com/vi/J_QGZspO4gg/default.jpg,FALSE,FALSE,FALSE
PkRBTF6nt4E,935,507,262,https://i.ytimg.com/vi/PkRBTF6nt4E/default.jpg,FALSE,FALSE,FALSE
ozkqm2ifMw8,11198,120,446,https://i.ytimg.com/vi/ozkqm2ifMw8/default.jpg,FALSE,FALSE,FALSE
htvR_dBs3eg,2926,106,798,https://i.ytimg.com/vi/htvR_dBs3eg/default.jpg,FALSE,FALSE,FALSE
qEEtzzi1EII,19323,245,945,https://i.ytimg.com/vi/qEEtzzi1EII/default.jpg,FALSE,FALSE,FALSE
1Wk8ZRgXQnY,1365,24,91,https://i.ytimg.com/vi/1Wk8ZRgXQnY/default.jpg,FALSE,FALSE,FALSE
8l_e6bx8UG8,32648,6221,9288,https://i.ytimg.com/vi/8l_e6bx8UG8/default.jpg,FALSE,FALSE,FALSE
lsfzA7sWlOM,7683,164,1734,https://i.ytimg.com/vi/lsfzA7sWlOM/default.jpg,FALSE,FALSE,FALSE
RQDphL2MVlM,3652,120,219,https://i.ytimg.com/vi/RQDphL2MVlM/default.jpg,FALSE,FALSE,FALSE
X7flefV8tec,4364,4448,1997,https://i.ytimg.com/vi/X7flefV8tec/default.jpg,FALSE,FALSE,FALSE
cYw-oyJ7AEY,11736,532,743,https://i.ytimg.com/vi/cYw-oyJ7AEY/default.jpg,FALSE,FALSE,FALSE
6nJw-jPQYVI,1345,24,126,https://i.ytimg.com/vi/6nJw-jPQYVI/default.jpg,FALSE,FALSE,FALSE
5x1FAiIq_pQ,1354,181,117,https://i.ytimg.com/vi/5x1FAiIq_pQ/default.jpg,FALSE,FALSE,FALSE
LMCuKltaY3M,2163,147,211,https://i.ytimg.com/vi/LMCuKltaY3M/default.jpg,FALSE,FALSE,FALSE
6Detw08jRhs,443,131,106,https://i.ytimg.com/vi/6Detw08jRhs/default.jpg,FALSE,FALSE,FALSE
vd4zwINEcLY,909,52,193,https://i.ytimg.com/vi/vd4zwINEcLY/default.jpg,FALSE,FALSE,FALSE
7fm7mll2qvg,4604,46,357,https://i.ytimg.com/vi/7fm7mll2qvg/default.jpg,FALSE,FALSE,FALSE
5gFpcEKayz4,35765,483,1159,https://i.ytimg.com/vi/5gFpcEKayz4/default.jpg,FALSE,FALSE,FALSE
eHIY3HNNqzM,7158,89,318,https://i.ytimg.com/vi/eHIY3HNNqzM/default.jpg,FALSE,FALSE,FALSE
q-WipZ9p0wk,1991,83,208,https://i.ytimg.com/vi/q-WipZ9p0wk/default.jpg,FALSE,FALSE,FALSE
zy0b9e40tK8,5642,146,675,https://i.ytimg.com/vi/zy0b9e40tK8/default.jpg,FALSE,FALSE,FALSE
rL4WkebTT_U,9210,71,1103,https://i.ytimg.com/vi/rL4WkebTT_U/default.jpg,FALSE,FALSE,FALSE
Y6eKxjMA9ek,15909,200,852,https://i.ytimg.com/vi/Y6eKxjMA9ek/default.jpg,FALSE,FALSE,FALSE
Q6Usd3_fbq8,242,0,54,https://i.ytimg.com/vi/Q6Usd3_fbq8/default.jpg,FALSE,FALSE,FALSE
44NYFvhXmW8,65854,2442,4490,https://i.ytimg.com/vi/44NYFvhXmW8/default.jpg,FALSE,FALSE,FALSE
9wg3v-01yKQ,810895,16139,59473,https://i.ytimg.com/vi/9wg3v-01yKQ/default.jpg,FALSE,FALSE,FALSE
F-j_6IuaYfw,16106,950,2077,https://i.ytimg.com/vi/F-j_6IuaYfw/default.jpg,FALSE,FALSE,FALSE
_qSW96a2aKY,11985,1356,1757,https://i.ytimg.com/vi/_qSW96a2aKY/default.jpg,FALSE,FALSE,FALSE
afgvlR9WmIQ,20159,336,899,https://i.ytimg.com/vi/afgvlR9WmIQ/default.jpg,FALSE,FALSE,FALSE
_CJN_ryETIY,10175,66,539,https://i.ytimg.com/vi/_CJN_ryETIY/default.jpg,FALSE,FALSE,FALSE
P4YJwy_T9pM,31892,197,1404,https://i.ytimg.com/vi/P4YJwy_T9pM/default.jpg,FALSE,FALSE,FALSE
YqH4eWR7jDQ,49,0,2,https://i.ytimg.com/vi/YqH4eWR7jDQ/default.jpg,FALSE,FALSE,FALSE
r96KpNTcog4,4989,58,274,https://i.ytimg.com/vi/r96KpNTcog4/default.jpg,FALSE,FALSE,FALSE
B4gXsobd_ao,3809,127,670,https://i.ytimg.com/vi/B4gXsobd_ao/default.jpg,FALSE,FALSE,FALSE
x8eLIJAM58M,5894,951,851,https://i.ytimg.com/vi/x8eLIJAM58M/default.jpg,FALSE,FALSE,FALSE
6V_aZsATDsM,1170,22,336,https://i.ytimg.com/vi/6V_aZsATDsM/default.jpg,FALSE,FALSE,FALSE
qg0GdM60syI,2,0,0,https://i.ytimg.com/vi/qg0GdM60syI/default.jpg,FALSE,FALSE,FALSE
8j_BYfVEyhA,5075,725,1780,https://i.ytimg.com/vi/8j_BYfVEyhA/default.jpg,FALSE,FALSE,FALSE
9ymjcSvEyhk,3959,158,335,https://i.ytimg.com/vi/9ymjcSvEyhk/default.jpg,FALSE,FALSE,FALSE
oB3SAI2oCqk,22,1,1,https://i.ytimg.com/vi/oB3SAI2oCqk/default.jpg,FALSE,FALSE,FALSE
